GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0100000US,,United States,6117,Educational support services,2016,8944,108309,1181800,5110716
0100000US,,United States,6211,Offices of physicians,2016,224840,2535695,48558342,220010250
0100000US,,United States,6212,Offices of dentists,2016,134620,923030,10230249,45404163
0100000US,,United States,6213,Offices of other health practitioners,2016,151069,846983,7566764,33257165
0100000US,,United States,6214,Outpatient care centers,2016,40589,941863,11531403,49339455
0100000US,,United States,6215,Medical and diagnostic laboratories,2016,17494,283587,4072392,17609325
0100000US,,United States,6216,Home health care services,2016,32464,1427131,9157976,39373118
0100000US,,United States,6219,Other ambulatory health care services,2016,10898,295284,2915490,12412897
0100000US,,United States,6221,General medical and surgical hospitals,2016,5417,5300881,76926441,322696505
0100000US,,United States,6222,Psychiatric and substance abuse hospitals,2016,663,237128,2963431,12122208
0100000US,,United States,6223,Specialty (except psychiatric and substance abuse) hospitals,2016,1020,296693,4287555,17996864
0100000US,,United States,6231,Nursing care facilities (skilled nursing facilities),2016,17223,1667937,12196523,51014239
0100000US,,United States,6232,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",2016,41537,759216,4681716,19934347
0100000US,,United States,6233,Continuing care retirement communities and assisted living facilities for the elderly,2016,24613,945168,5548360,23404941
0100000US,,United States,6239,Other residential care facilities,2016,5187,131162,947361,4013193
0100000US,,United States,6241,Individual and family services,2016,85227,1695361,9206986,39648056
0100000US,,United States,6242,"Community food and housing, and emergency and other relief services",2016,14576,199825,1555366,6599497
0100000US,,United States,6243,Vocational rehabilitation services,2016,7768,323029,1490942,6429807
0100000US,,United States,6244,Child day care services,2016,75314,925735,4400159,18768732
0100000US,,United States,7111,Performing arts companies,2016,9149,128107,1046177,4748120
0100000US,,United States,7112,Spectator sports,2016,4357,135862,3994074,20981147
0100000US,,United States,7113,"Promoters of performing arts, sports, and similar events",2016,7770,172611,1116933,5366064
0100000US,,United States,7114,"Agents and managers for artists, athletes, entertainers, and other public figures",2016,4100,20533,470372,2428027
0100000US,,United States,7115,"Independent artists, writers, and performers",2016,26859,46638,964870,7517719
0100000US,,United States,7121,"Museums, historical sites, and similar institutions",2016,7655,151270,1156383,5067023
0100000US,,United States,7131,Amusement parks and arcades,2016,3388,200910,1072300,4752040
0100000US,,United States,7132,Gambling industries,2016,2817,148424,1228181,5090944
0100000US,,United States,7139,Other amusement and recreation industries,2016,71115,1307082,5524414,25172846
0100000US,,United States,7211,Traveler accommodation,2016,57324,2011009,13581559,57831735
0100000US,,United States,7212,RV (recreational vehicle) parks and recreational camps,2016,7390,44745,247124,1515855
0100000US,,United States,7213,Rooming and boarding houses,2016,2070,11623,65140,259058
0100000US,,United States,7223,Special food services,2016,43052,785853,3957285,17391075
0100000US,,United States,7224,Drinking places (alcoholic beverages),2016,40590,378097,1491974,6482913
0100000US,,United States,7225,Restaurants and other eating places,2016,553102,10472690,41104559,177780013
0100000US,,United States,8111,Automotive repair and maintenance,2016,159882,892007,7338844,31712096
0100000US,,United States,8112,Electronic and precision equipment repair and maintenance,2016,12236,103329,1347789,5586038
0100000US,,United States,8113,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,2016,21639,198263,2671179,11247482
